Designator,Footprint,Quantity,Value,LCSC Part #
"BATT+1, POWER_PAD_SMD1",Power_pad_smd,2,power_pad_smd,
C10,805,1,22uF 16V,
C11,CAPC2012X140N,1,0.1uF 6.3V,
C12,CAPC1608X90N,1,1uF 16V,
C13,CAPC1608X90N,1,0.1 uF 100V,
C14,CAPPRD500W50D630H1120,1,22uF 100V,
"C15, C16, C17",603,3,10nF,
"C18, C32",603,2,1uF,
"C19, C20, C28",603,3,1uF,C52923
C21,603,1,4u7,C19666
"C22, C23, C24, C26, C31",805,5,100nF,C1525
"C25, C27",805,2,33pF,
C29,603,1,10nF,C15195
C30,805,1,100nF,
"C33, C34, C35, C36, C38",603,5,2.2uF,
"C37, C39",80ZLJ680MGC18X25,2,680uF 80V,
"C6, C9",805,2,47nF 100V,
C7,603,1,0.1uF 16V,
C8,603,1,1uF 6.3V,
D1,D_SMA,1,80V 1A,
D2,603,1,LEDA,
D3,603,1,LEDB,
D4,603,1,LEDC,
D5,SOT95P280X145-6N,1,USBLC6-2SC6Y,
D6,SOD3716X135N,1,D_Zener,
IC1,SOT65P280X145-8N,1,TCAN330DCNT,
"J1, J5",JST_BM04B-GHS-TBT_LF__SN__N_,2,BM04B-GHS-TBT_LF__SN__N_,
J2,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J3,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,1,Conn_01x02_Socket,
J4,PinHeader_1x04_P1.00mm_Vertical,1,Conn_01x04_Pin,
L1,INDM7676X355N,1,22uH 1.6A,DR73-220-R
L2,603,1,100MHz / 1kR,C26443
"Q10, Q11, Q12, Q7, Q8, Q9",STL90N6F7_Thermal_Vias,6,STL90N6F7,
"R10, R12, R14",603,3,91k,
"R11, R13, R15",603,3,4k7,
"R16, R17, R26, R5, R8, R9",603,6,10k,
"R18, R19, R20",603,3,330R,
"R21, RGA3, RGA4, RGB3, RGB4, RGC3, RGC4",RESC1508X55N,7,0ohm,
R22,603,1,10k,C25744
R23,603,1,3.3k,
"R24, R4",603,2,100k,
"R25, R28, R7",603,3,1k,
R27,603,1,120R,
R6,RESC1607X60N,1,5k6,
"RSENSE_A4, RSENSE_A5, RSENSE_B4, RSENSE_B5, RSENSE_C4, RSENSE_C5",RESC6432X80N,6,2mohm,
"SW1, SW2",SW_SPDT_PCM12,2,SW_SPDT,
TH1,603,1,ERT-J1VG103FA,
U1,QFN50P700X700X100-49N,1,DRV8323RSRGZR,
U2,SOT-23-5,1,ME6211C33M5,
U3,QFN50P700X700X60-49N,1,STM32G431CBU6,
Y1,XTAL_ECS-80-20-5PX-TR,1,ECS-80-20-5PX-TR,
