Designator,Mid X,Mid Y,Rotation,Layer
BATT+1,133.8,-84.5,0.0,top
C10,104.5,-111.75,180.0,top
C11,82.5,-91.25,0.0,top
C12,97.75,-95.5,90.0,top
C13,101.75,-95.5,270.0,top
C14,106.9,-95.1,270.0,top
C15,60.0,-111.0,270.0,top
C16,61.75,-111.0,270.0,top
C17,74.0,-108.75,270.0,top
C18,108.0,-134.5,0.0,top
C19,85.0,-119.2,0.0,top
C20,75.0,-120.0,270.0,top
C21,71.4,-111.0,180.0,top
C22,73.6,-99.5,90.0,top
C23,62.0,-100.4,90.0,top
C24,63.5,-97.5375,180.0,top
C25,55.5,-98.25,270.0,top
C26,69.6375,-112.9,0.0,top
C27,59.4625,-97.5,0.0,top
C28,69.6375,-115.0,0.0,top
C29,69.6375,-116.9,0.0,top
C30,86.15,-124.45,90.0,top
C31,55.22,-102.35,90.0,top
C32,73.6,-130.6,90.0,top
C33,60.56,-124.975,90.0,top
C34,60.0,-116.25,270.0,top
C35,116.5,-74.25,270.0,top
C36,85.5,-74.3125,270.0,top
C37,121.6,-99.6,180.0,top
C38,81.0326,-74.3125,270.0,top
C39,121.7,-118.2,180.0,top
C6,101.75,-100.5625,90.0,top
C7,92.75,-108.75,90.0,top
C8,85.3,-97.7,90.0,top
C9,92.0825,-100.99,0.0,top
D1,98.15,-113.1,0.0,top
D2,98.3375,-123.75,180.0,top
D3,98.3375,-120.75,180.0,top
D4,98.3375,-117.75,180.0,top
D5,70.21,-127.35,90.0,top
D6,117.8875,-137.84375,0.0,top
D7,86.5,-116.7,0.0,top
IC1,86.325,-129.25,270.0,top
J1,101.525,-139.25,0.0,top
J2,70.71,-137.88,0.0,top
J3,53.0,-123.0,270.0,top
J4,50.3,-86.19,0.0,top
J5,86.775,-139.25,0.0,top
L1,87.4306,-111.75,0.0,top
L2,69.75,-118.9,180.0,top
POWER_PAD_SMD1,133.8,-70.8,0.0,top
Q10,96.8486,-67.525,0.0,top
Q11,78.6698,-67.525,180.0,top
Q12,69.5092,-67.525,0.0,top
Q7,115.5092,-67.525,180.0,top
Q8,106.3486,-67.525,0.0,top
Q9,87.688,-67.525,180.0,top
R10,106.5,-101.13,0.0,top
R11,106.4925,-103.13,0.0,top
R12,97.75,-89.5,0.0,top
R13,97.75,-87.775,0.0,top
R14,71.0875,-89.64,180.0,top
R15,71.0875,-91.5,180.0,top
R16,102.875,-130.9,180.0,top
R17,104.375,-132.9,180.0,top
R18,94.125,-123.75,180.0,top
R19,94.125,-120.75,180.0,top
R20,94.125,-117.75,180.0,top
R21,58.5,-100.76,90.0,top
R22,54.5,-110.0,90.0,top
R23,117.0875,-132.84375,180.0,top
R24,117.0875,-134.84375,0.0,top
R25,58.5,-124.8,270.0,top
R26,89.65,-129.7,270.0,top
R27,86.5,-133.0,0.0,top
R28,61.8,-116.3125,90.0,top
R4,99.75,-95.484999,270.0,top
R5,78.585,-97.7,0.0,top
R6,97.7725,-100.9975,270.0,top
R7,95.7725,-100.9975,270.0,top
R8,78.7875,-101.5,0.0,top
R9,78.6,-99.7,0.0,top
RGA3,107.2918,-88.5,45.0,top
RGA4,106.0,-87.25,45.0,top
RGB3,86.0,-85.5,180.0,top
RGB4,99.0,-83.76,0.0,top
RGC3,77.0418,-84.5,180.0,top
RGC4,77.0418,-86.75,180.0,top
RSENSE_A4,110.5418,-80.716,180.0,top
RSENSE_A5,110.5418,-75.75,180.0,top
RSENSE_B4,92.25,-75.784,0.0,top
RSENSE_B5,92.25,-80.75,0.0,top
RSENSE_C4,74.3008,-80.6022,180.0,top
RSENSE_C5,74.3008,-75.6362,180.0,top
SW1,51.0,-110.25,270.0,top
SW2,51.07,-100.25,270.0,top
TH1,64.5,-67.25,270.0,top
U1,91.0,-94.0,180.0,top
U2,79.5,-118.25,0.0,top
U3,67.5,-104.5,0.0,top
Y1,59.98125,-92.75,0.0,top
Z1,96.3,-106.0,45.0,top
Z2,111.8,-90.625,180.0,top
